x,y,z
1.33433,-0.13137,-0.010875
1.33386,-0.136027,-0.010875
1.33338,-0.140682,-0.010875
1.33636,-0.108566,-0.0184014
1.33598,-0.113233,-0.0184014
1.33555,-0.118128,-0.0184014
1.33513,-0.122789,-0.0184014
1.33469,-0.127449,-0.0184014
1.33424,-0.132107,-0.0184014
1.33826,-0.141953,-0.0184305
1.33363,0.0579794,0.0266518
1.34381,0.0537687,0.0269427
1.35398,0.0494878,0.0272336
1.38411,0.0458858,0.0281063
1.33473,0.0207198,0.0266518
1.35978,0.0164746,0.0273791
1.35983,0.0117282,0.0273791
1.35986,0.00698174,0.0273791
1.35988,0.00223453,0.0273791
1.35988,-0.00298292,0.0273791
1.35986,-0.0077338,0.0273791
1.35983,-0.0124806,0.0273791
1.35977,-0.0172272,0.0273791
1.3647,-0.022032,0.0275245
1.36462,-0.0267956,0.0275245
1.36951,-0.0316521,0.02767
1.36939,-0.0364324,0.02767
1.37925,-0.0414687,0.0279609
1.39851,-0.0615139,0.0285427
1.38307,-0.0705773,0.0281063
1.37283,-0.0749042,0.0278154
1.37256,-0.0796958,0.0278154
1.37228,-0.0844865,0.0278154
1.37197,-0.0892761,0.0278154
1.37165,-0.0940646,0.0278154
1.37132,-0.098852,0.0278154
1.37096,-0.103638,0.0278154
1.37558,-0.108795,0.0279609
1.37519,-0.113596,0.0279609
1.37479,-0.118396,0.0279609
1.37436,-0.123194,0.0279609
1.3789,-0.128432,0.0281063
1.38342,-0.133704,0.0282518
1.36754,-0.141877,0.0278154
1.32058,0.254573,0.0269427
1.32636,0.250913,0.0270881
1.31826,0.239814,0.0267972
1.31909,0.23521,0.0267972
1.32482,0.231487,0.0269427
1.33054,0.227727,0.0270881
1.33133,0.223081,0.0270881
1.3321,0.218432,0.0270881
1.33285,0.213781,0.0270881
1.33359,0.209127,0.0270881
1.32937,0.203691,0.0269427
1.3202,0.197526,0.0266518
1.33076,0.194405,0.0269427
1.34132,0.191214,0.0272336
1.38717,0.188082,0.0285427
1.34325,0.177157,0.0272336
1.32463,0.165211,0.0266518
1.34503,0.163082,0.0272336
1.35408,0.12548,0.0273791
1.33956,0.119587,0.0269427
1.32008,0.112882,0.0263609
1.32545,0.108701,0.0265063
1.34076,0.105315,0.0269427
1.3461,0.101031,0.0270881
1.35641,0.0970897,0.0273791
1.35674,0.0923546,0.0273791
1.35207,0.0872735,0.0272336
1.35237,0.0825536,0.0272336
1.35291,0.0731103,0.0272336
1.36888,-0.0653709,0.0199487
1.36365,-0.0698994,0.0198323
1.35841,-0.0743922,0.019716
1.35814,-0.0791334,0.019716
